subject,day,week,chapter,topic,batch_code,test_title,difficulty,question_text_en,option_a,option_b,option_c,option_d,correct_option,explanation_en,source,map_or_case_tag,pyq_linked,status
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,MEDIUM,"Consider the following statements about Earth as a system for UPSC map reasoning question 16: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 16.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 16.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,Yes,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,MEDIUM,"Consider the following statements about Earth as a system for UPSC map reasoning question 17: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 17.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 17.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,No,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,PYQ_STYLE,"Consider the following statements about Earth as a system for UPSC map reasoning question 18: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 18.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 18.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,No,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,MEDIUM,"Consider the following statements about Earth as a system for UPSC map reasoning question 19: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 19.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 19.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,No,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,HARD,"Consider the following statements about Earth as a system for UPSC map reasoning question 20: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 20.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 20.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,Yes,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,PYQ_STYLE,"Consider the following statements about Earth as a system for UPSC map reasoning question 21: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 21.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 21.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,No,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,MEDIUM,"Consider the following statements about Earth as a system for UPSC map reasoning question 22: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 22.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 22.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,No,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,MEDIUM,"Consider the following statements about Earth as a system for UPSC map reasoning question 23: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 23.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 23.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,No,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,PYQ_STYLE,"Consider the following statements about Earth as a system for UPSC map reasoning question 24: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 24.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 24.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,Yes,DRAFT
Geography,1,1,Physical Geography Foundation,Earth as a System,GEO-D01,Geography Day 1: Earth as a System,HARD,"Consider the following statements about Earth as a system for UPSC map reasoning question 25: which option correctly links spheres, energy flow, location proof and the common trap?","Lithosphere, atmosphere, hydrosphere and biosphere interact through energy and matter feedback, so map location changes the final climate, relief and hazard pattern 25.","Latitude alone explains every Earth system outcome without relief, water, atmosphere or seasonal movement.","Map scale, direction and time zones are irrelevant once the student knows the definition of a sphere.",Every Indian region receives the same insolation and has the same drainage response across seasons.,A,"The correct option is A because Earth system questions require a process chain linking energy, matter, relief, climate, water and location. The UPSC trap is to isolate one sphere, latitude, scale or time-zone fact and ignore map proof, regional exception and interaction logic for question 25.",FRESH_AUTHORING,Earth Layers Lab latitude longitude time zones India map,No,DRAFT
